capture_index,motion_id,authored_seconds,duration,status,event,weight
0,gLO_sBM_cAll_d13_mLO2_ch02,6.199999916134402e-05,9.583333333333334,awaiting_retrieval,,1.9062693081738922e-11
1,gLO_sBM_cAll_d13_mLO2_ch02,0.01689489999989746,9.583333333333334,awaiting_retrieval,,0.0003665056120606184
2,gLO_sBM_cAll_d13_mLO2_ch02,0.03352610000001732,9.583333333333334,awaiting_retrieval,,0.002719587702711997
3,gLO_sBM_cAll_d13_mLO2_ch02,0.05014169999776641,9.583333333333334,awaiting_retrieval,,0.008629039785143781
4,gLO_sBM_cAll_d13_mLO2_ch02,0.06726399999752175,9.583333333333334,awaiting_retrieval,,0.01969801062273707
5,gLO_sBM_cAll_d13_mLO2_ch02,0.0834684000001289,9.583333333333334,awaiting_retrieval,,0.03565035705398699
6,gLO_sBM_cAll_d13_mLO2_ch02,0.1001457999991544,9.583333333333334,awaiting_retrieval,,0.05814419369656403
7,gLO_sBM_cAll_d13_mLO2_ch02,0.11717099999805214,9.583333333333334,awaiting_retrieval,,0.08769521925976446
8,gLO_sBM_cAll_d13_mLO2_ch02,0.133768699997745,9.583333333333334,awaiting_retrieval,,0.12286967341968734
9,gLO_sBM_cAll_d13_mLO2_ch02,0.15043789999981533,9.583333333333334,awaiting_retrieval,,0.1642406145540169
10,gLO_sBM_cAll_d13_mLO2_ch02,0.16719279999961156,9.583333333333334,awaiting_retrieval,,0.2114379134882476
11,gLO_sBM_cAll_d13_mLO2_ch02,0.1837596999976087,9.583333333333334,awaiting_retrieval,,0.26297992540742904
12,gLO_sBM_cAll_d13_mLO2_ch02,0.2003676999993333,9.583333333333334,awaiting_retrieval,,0.3187115482178257
13,gLO_sBM_cAll_d13_mLO2_ch02,0.2169343999994455,9.583333333333334,awaiting_retrieval,,0.37744248068105485
14,gLO_sBM_cAll_d13_mLO2_ch02,0.23360619999948565,9.583333333333334,awaiting_retrieval,,0.4386992603751676
15,gLO_sBM_cAll_d13_mLO2_ch02,0.2502813999999492,9.583333333333334,awaiting_retrieval,,0.5010552491084925
16,gLO_sBM_cAll_d13_mLO2_ch02,0.26692179999736276,9.583333333333334,awaiting_retrieval,,0.5632631959101153
17,gLO_sBM_cAll_d13_mLO2_ch02,0.2836452999981704,9.583333333333334,awaiting_retrieval,,0.6246546854077555
18,gLO_sBM_cAll_d13_mLO2_ch02,0.3003080999988016,9.583333333333334,awaiting_retrieval,,0.6836242457953025
19,gLO_sBM_cAll_d13_mLO2_ch02,0.3168433999999252,9.583333333333334,awaiting_retrieval,,0.7389725989820041
20,gLO_sBM_cAll_d13_mLO2_ch02,0.33394209999823943,9.583333333333334,awaiting_retrieval,,0.7919239096719006
21,gLO_sBM_cAll_d13_mLO2_ch02,0.35059550000005396,9.583333333333334,awaiting_retrieval,,0.8384921140476408
22,gLO_sBM_cAll_d13_mLO2_ch02,0.3672625999970477,9.583333333333334,awaiting_retrieval,,0.8794948460268374
23,gLO_sBM_cAll_d13_mLO2_ch02,0.38392679999742524,9.583333333333334,awaiting_retrieval,,0.9144115157985387
24,gLO_sBM_cAll_d13_mLO2_ch02,0.4006986999993385,9.583333333333334,awaiting_retrieval,,0.9431475804717714
25,gLO_sBM_cAll_d13_mLO2_ch02,0.41718659999969504,9.583333333333334,awaiting_retrieval,,0.9651049457421436
26,gLO_sBM_cAll_d13_mLO2_ch02,0.4338539999989731,9.583333333333334,awaiting_retrieval,,0.98119859470311
