motion_id,genre,situation,duration,nearest_motion,dtw_deg,aligned_deg,same_genre
gBR_sBM_cAll_d04_mBR0_ch01,BR,BM,11.983333333333333,gBR_sBM_cAll_d04_mBR1_ch01,11.1363,11.6106,True
gBR_sBM_cAll_d04_mBR0_ch02,BR,BM,11.983333333333333,gBR_sBM_cAll_d04_mBR1_ch02,10.1227,12.4606,True
gBR_sBM_cAll_d04_mBR0_ch03,BR,BM,11.983333333333333,gBR_sBM_cAll_d05_mBR0_ch03,16.887,27.7811,True
gBR_sBM_cAll_d04_mBR0_ch04,BR,BM,11.983333333333333,gBR_sBM_cAll_d05_mBR0_ch04,18.2602,35.8717,True
gBR_sBM_cAll_d04_mBR0_ch05,BR,BM,11.983333333333333,gBR_sBM_cAll_d05_mBR0_ch01,22.9928,33.5743,True
gBR_sBM_cAll_d04_mBR0_ch06,BR,BM,11.983333333333333,gBR_sBM_cAll_d05_mBR0_ch01,22.9029,28.4016,True
gBR_sBM_cAll_d04_mBR0_ch09,BR,BM,11.983333333333333,gBR_sBM_cAll_d05_mBR0_ch09,27.9862,31.5454,True
gBR_sBM_cAll_d04_mBR1_ch01,BR,BM,10.65,gBR_sBM_cAll_d04_mBR2_ch01,9.5902,9.6406,True
gBR_sBM_cAll_d04_mBR1_ch02,BR,BM,10.65,gBR_sBM_cAll_d04_mBR0_ch02,10.1227,12.4606,True
gBR_sBM_cAll_d04_mBR2_ch01,BR,BM,9.583333333333334,gBR_sBM_cAll_d04_mBR1_ch01,9.5902,9.6406,True
gBR_sBM_cAll_d04_mBR2_ch02,BR,BM,9.583333333333334,gBR_sBM_cAll_d04_mBR1_ch02,10.9795,11.073,True
gBR_sBM_cAll_d04_mBR3_ch01,BR,BM,8.716666666666667,gBR_sBM_cAll_d04_mBR2_ch01,11.6093,12.4047,True
gBR_sBM_cAll_d04_mBR3_ch02,BR,BM,8.716666666666667,gKR_sBM_cAll_d28_mKR2_ch01,34.7302,35.9447,False
gBR_sBM_cAll_d05_mBR0_ch01,BR,BM,11.983333333333333,gBR_sBM_cAll_d05_mBR4_ch01,13.8007,18.4814,True
gBR_sBM_cAll_d05_mBR0_ch02,BR,BM,11.983333333333333,gBR_sBM_cAll_d06_mBR4_ch02,20.2901,23.3294,True
gBR_sBM_cAll_d05_mBR0_ch03,BR,BM,11.983333333333333,gBR_sBM_cAll_d04_mBR0_ch03,16.887,27.7811,True
gBR_sBM_cAll_d05_mBR0_ch04,BR,BM,11.983333333333333,gBR_sBM_cAll_d04_mBR0_ch04,18.2602,35.8717,True
gBR_sBM_cAll_d05_mBR0_ch05,BR,BM,11.983333333333333,gLH_sBM_cAll_d17_mLH4_ch07,25.0643,33.2394,False
gBR_sBM_cAll_d05_mBR0_ch06,BR,BM,11.983333333333333,gBR_sBM_cAll_d05_mBR0_ch01,22.1598,23.3121,True
gBR_sBM_cAll_d05_mBR0_ch08,BR,BM,11.983333333333333,gBR_sBM_cAll_d04_mBR0_ch02,33.8754,39.7377,True
gBR_sBM_cAll_d05_mBR0_ch09,BR,BM,11.983333333333333,gBR_sBM_cAll_d04_mBR0_ch09,27.9862,31.5454,True
gBR_sBM_cAll_d05_mBR0_ch10,BR,BM,11.983333333333333,gJS_sBM_cAll_d01_mJS3_ch07,29.1573,31.9145,False
gBR_sBM_cAll_d05_mBR1_ch01,BR,BM,10.65,gBR_sBM_cAll_d05_mBR0_ch01,19.1515,19.7539,True
gBR_sBM_cAll_d05_mBR1_ch02,BR,BM,10.65,gBR_sBM_cAll_d06_mBR5_ch02,23.8815,28.6417,True
gBR_sBM_cAll_d05_mBR4_ch01,BR,BM,7.983333333333333,gBR_sBM_cAll_d05_mBR0_ch01,13.8007,18.4814,True
gBR_sBM_cAll_d05_mBR4_ch02,BR,BM,7.983333333333333,gBR_sBM_cAll_d05_mBR5_ch02,18.1715,21.1738,True
gBR_sBM_cAll_d05_mBR5_ch01,BR,BM,7.366666666666666,gPO_sBM_cAll_d10_mPO2_ch02,23.0583,29.042,False
gBR_sBM_cAll_d05_mBR5_ch02,BR,BM,7.366666666666666,gBR_sBM_cAll_d05_mBR4_ch02,18.1715,21.1738,True
gBR_sBM_cAll_d06_mBR2_ch01,BR,BM,9.583333333333334,gBR_sBM_cAll_d06_mBR3_ch01,11.587,13.3557,True
gBR_sBM_cAll_d06_mBR2_ch02,BR,BM,9.583333333333334,gBR_sBM_cAll_d06_mBR3_ch02,11.7059,12.7198,True
gBR_sBM_cAll_d06_mBR3_ch01,BR,BM,8.716666666666667,gBR_sBM_cAll_d06_mBR5_ch01,10.1839,11.5411,True
gBR_sBM_cAll_d06_mBR3_ch02,BR,BM,8.716666666666667,gBR_sBM_cAll_d06_mBR2_ch02,11.7059,12.7198,True
gBR_sBM_cAll_d06_mBR4_ch01,BR,BM,7.983333333333333,gBR_sBM_cAll_d06_mBR5_ch01,11.033,12.3119,True
gBR_sBM_cAll_d06_mBR4_ch02,BR,BM,7.983333333333333,gBR_sBM_cAll_d06_mBR2_ch02,13.3962,15.1931,True
gBR_sBM_cAll_d06_mBR5_ch01,BR,BM,7.366666666666666,gBR_sBM_cAll_d06_mBR3_ch01,10.1839,11.5411,True
gBR_sBM_cAll_d06_mBR5_ch02,BR,BM,7.366666666666666,gBR_sBM_cAll_d06_mBR3_ch02,18.2206,18.885,True
gBR_sFM_cAll_d04_mBR0_ch01,BR,FM,47.95,gHO_sBM_cAll_d20_mHO5_ch09,21.7172,25.3544,False
gHO_sBM_cAll_d19_mHO0_ch01,HO,BM,8.716666666666667,gHO_sBM_cAll_d19_mHO2_ch01,7.3764,8.4047,True
gHO_sBM_cAll_d19_mHO0_ch02,HO,BM,8.716666666666667,gHO_sBM_cAll_d19_mHO1_ch02,9.6998,13.1954,True
gHO_sBM_cAll_d19_mHO1_ch01,HO,BM,8.316666666666666,gHO_sBM_cAll_d19_mHO2_ch01,6.6775,8.8135,True
gHO_sBM_cAll_d19_mHO1_ch02,HO,BM,8.316666666666666,gHO_sBM_cAll_d19_mHO2_ch02,8.7595,13.2568,True
gHO_sBM_cAll_d19_mHO2_ch01,HO,BM,7.983333333333333,gHO_sBM_cAll_d19_mHO1_ch01,6.6775,8.8135,True
gHO_sBM_cAll_d19_mHO2_ch02,HO,BM,7.983333333333333,gHO_sBM_cAll_d19_mHO1_ch02,8.7595,13.2568,True
gHO_sBM_cAll_d19_mHO3_ch01,HO,BM,7.65,gHO_sBM_cAll_d19_mHO1_ch01,9.0639,11.8296,True
gHO_sBM_cAll_d19_mHO3_ch02,HO,BM,7.65,gHO_sBM_cAll_d19_mHO2_ch02,12.5926,15.2858,True
gHO_sBM_cAll_d20_mHO0_ch01,HO,BM,8.716666666666667,gHO_sBM_cAll_d20_mHO4_ch01,9.0958,10.6206,True
gHO_sBM_cAll_d20_mHO0_ch02,HO,BM,8.716666666666667,gHO_sBM_cAll_d20_mHO5_ch02,10.5852,11.2962,True
gHO_sBM_cAll_d20_mHO1_ch01,HO,BM,8.316666666666666,gHO_sBM_cAll_d20_mHO5_ch01,12.3077,12.804,True
gHO_sBM_cAll_d20_mHO1_ch02,HO,BM,8.316666666666666,gHO_sBM_cAll_d20_mHO0_ch02,10.8465,13.1398,True
gHO_sBM_cAll_d20_mHO4_ch01,HO,BM,7.366666666666666,gHO_sBM_cAll_d20_mHO5_ch01,7.7316,8.241,True
gHO_sBM_cAll_d20_mHO4_ch02,HO,BM,7.366666666666666,gHO_sBM_cAll_d20_mHO5_ch02,8.1867,9.4125,True
gHO_sBM_cAll_d20_mHO5_ch01,HO,BM,7.083333333333333,gHO_sBM_cAll_d20_mHO4_ch01,7.7316,8.241,True
gHO_sBM_cAll_d20_mHO5_ch02,HO,BM,7.083333333333333,gHO_sBM_cAll_d20_mHO4_ch02,8.1867,9.4125,True
gHO_sBM_cAll_d20_mHO5_ch03,HO,BM,7.083333333333333,gHO_sBM_cAll_d20_mHO5_ch01,12.3322,21.2111,True
gHO_sBM_cAll_d20_mHO5_ch04,HO,BM,7.083333333333333,gHO_sBM_cAll_d20_mHO5_ch03,12.9548,16.0312,True
gHO_sBM_cAll_d20_mHO5_ch05,HO,BM,7.083333333333333,gLH_sBM_cAll_d17_mLH4_ch08,12.7978,15.0306,False
gHO_sBM_cAll_d20_mHO5_ch06,HO,BM,7.083333333333333,gHO_sBM_cAll_d20_mHO5_ch04,13.173,17.8643,True
gHO_sBM_cAll_d20_mHO5_ch07,HO,BM,7.083333333333333,gHO_sBM_cAll_d20_mHO5_ch04,16.4353,17.5081,True
gHO_sBM_cAll_d20_mHO5_ch08,HO,BM,7.083333333333333,gHO_sBM_cAll_d20_mHO4_ch02,15.202,20.3081,True
gHO_sBM_cAll_d20_mHO5_ch09,HO,BM,7.083333333333333,gHO_sBM_cAll_d20_mHO5_ch03,14.0925,18.7758,True
gHO_sBM_cAll_d20_mHO5_ch10,HO,BM,7.083333333333333,gHO_sBM_cAll_d20_mHO5_ch03,16.4853,22.6516,True
