motion_name,video_name,motion_frames,duration_seconds,audio_path,status
gBR_sBM_cAll_d04_mBR0_ch01,gBR_sBM_c01_d04_mBR0_ch01,720,12.000000000,gBR_sBM_cAll_d04_mBR0_ch01.wav,existing
gBR_sBM_cAll_d04_mBR0_ch02,gBR_sBM_c01_d04_mBR0_ch02,720,12.000000000,gBR_sBM_cAll_d04_mBR0_ch02.wav,existing
gBR_sBM_cAll_d04_mBR0_ch03,gBR_sBM_c01_d04_mBR0_ch03,720,12.000000000,gBR_sBM_cAll_d04_mBR0_ch03.wav,existing
gBR_sBM_cAll_d04_mBR0_ch04,gBR_sBM_c01_d04_mBR0_ch04,720,12.000000000,gBR_sBM_cAll_d04_mBR0_ch04.wav,existing
gBR_sBM_cAll_d04_mBR0_ch05,gBR_sBM_c01_d04_mBR0_ch05,720,12.000000000,gBR_sBM_cAll_d04_mBR0_ch05.wav,existing
gBR_sBM_cAll_d04_mBR0_ch06,gBR_sBM_c01_d04_mBR0_ch06,720,12.000000000,gBR_sBM_cAll_d04_mBR0_ch06.wav,existing
gBR_sBM_cAll_d04_mBR0_ch09,gBR_sBM_c01_d04_mBR0_ch09,720,12.000000000,gBR_sBM_cAll_d04_mBR0_ch09.wav,existing
gBR_sBM_cAll_d04_mBR1_ch01,gBR_sBM_c01_d04_mBR1_ch01,640,10.666666667,gBR_sBM_cAll_d04_mBR1_ch01.wav,existing
gBR_sBM_cAll_d04_mBR1_ch02,gBR_sBM_c01_d04_mBR1_ch02,640,10.666666667,gBR_sBM_cAll_d04_mBR1_ch02.wav,existing
gBR_sBM_cAll_d04_mBR2_ch01,gBR_sBM_c01_d04_mBR2_ch01,576,9.600000000,gBR_sBM_cAll_d04_mBR2_ch01.wav,existing
gBR_sBM_cAll_d04_mBR2_ch02,gBR_sBM_c01_d04_mBR2_ch02,576,9.600000000,gBR_sBM_cAll_d04_mBR2_ch02.wav,existing
gBR_sBM_cAll_d04_mBR3_ch01,gBR_sBM_c01_d04_mBR3_ch01,524,8.733333333,gBR_sBM_cAll_d04_mBR3_ch01.wav,existing
gBR_sBM_cAll_d04_mBR3_ch02,gBR_sBM_c01_d04_mBR3_ch02,524,8.733333333,gBR_sBM_cAll_d04_mBR3_ch02.wav,existing
gBR_sBM_cAll_d05_mBR0_ch01,gBR_sBM_c01_d05_mBR0_ch01,720,12.000000000,gBR_sBM_cAll_d05_mBR0_ch01.wav,existing
gBR_sBM_cAll_d05_mBR0_ch02,gBR_sBM_c01_d05_mBR0_ch02,720,12.000000000,gBR_sBM_cAll_d05_mBR0_ch02.wav,existing
gBR_sBM_cAll_d05_mBR0_ch03,gBR_sBM_c01_d05_mBR0_ch03,720,12.000000000,gBR_sBM_cAll_d05_mBR0_ch03.wav,existing
gBR_sBM_cAll_d05_mBR0_ch04,gBR_sBM_c01_d05_mBR0_ch04,720,12.000000000,gBR_sBM_cAll_d05_mBR0_ch04.wav,existing
gBR_sBM_cAll_d05_mBR0_ch05,gBR_sBM_c01_d05_mBR0_ch05,720,12.000000000,gBR_sBM_cAll_d05_mBR0_ch05.wav,existing
gBR_sBM_cAll_d05_mBR0_ch06,gBR_sBM_c01_d05_mBR0_ch06,720,12.000000000,gBR_sBM_cAll_d05_mBR0_ch06.wav,existing
gBR_sBM_cAll_d05_mBR0_ch08,gBR_sBM_c01_d05_mBR0_ch08,720,12.000000000,gBR_sBM_cAll_d05_mBR0_ch08.wav,existing
gBR_sBM_cAll_d05_mBR0_ch09,gBR_sBM_c01_d05_mBR0_ch09,720,12.000000000,gBR_sBM_cAll_d05_mBR0_ch09.wav,existing
gBR_sBM_cAll_d05_mBR0_ch10,gBR_sBM_c01_d05_mBR0_ch10,720,12.000000000,gBR_sBM_cAll_d05_mBR0_ch10.wav,existing
gBR_sBM_cAll_d05_mBR1_ch01,gBR_sBM_c01_d05_mBR1_ch01,640,10.666666667,gBR_sBM_cAll_d05_mBR1_ch01.wav,existing
gBR_sBM_cAll_d05_mBR1_ch02,gBR_sBM_c01_d05_mBR1_ch02,640,10.666666667,gBR_sBM_cAll_d05_mBR1_ch02.wav,existing
gBR_sBM_cAll_d05_mBR4_ch01,gBR_sBM_c01_d05_mBR4_ch01,480,8.000000000,gBR_sBM_cAll_d05_mBR4_ch01.wav,existing
gBR_sBM_cAll_d05_mBR4_ch02,gBR_sBM_c01_d05_mBR4_ch02,480,8.000000000,gBR_sBM_cAll_d05_mBR4_ch02.wav,existing
gBR_sBM_cAll_d05_mBR5_ch01,gBR_sBM_c01_d05_mBR5_ch01,443,7.383333333,gBR_sBM_cAll_d05_mBR5_ch01.wav,existing
gBR_sBM_cAll_d05_mBR5_ch02,gBR_sBM_c01_d05_mBR5_ch02,443,7.383333333,gBR_sBM_cAll_d05_mBR5_ch02.wav,existing
gBR_sBM_cAll_d06_mBR2_ch01,gBR_sBM_c01_d06_mBR2_ch01,576,9.600000000,gBR_sBM_cAll_d06_mBR2_ch01.wav,existing
gBR_sBM_cAll_d06_mBR2_ch02,gBR_sBM_c01_d06_mBR2_ch02,576,9.600000000,gBR_sBM_cAll_d06_mBR2_ch02.wav,existing
gBR_sBM_cAll_d06_mBR3_ch01,gBR_sBM_c01_d06_mBR3_ch01,524,8.733333333,gBR_sBM_cAll_d06_mBR3_ch01.wav,existing
